                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.6518,                 1.4655,                 1.6344,                0.70153,                  0.645,                0.69448,                0.39997,                 1.5706,                 1.2883,                  1.539,             0.00073437,             0.00073437,             0.00073437
                     52,                 1.6241,                 1.4005,                 1.6478,                0.70697,                0.59287,                0.65255,                0.39633,                 1.5537,                  1.358,                 1.5451,             0.00072406,             0.00072406,             0.00072406
                     53,                 1.5599,                  1.453,                 1.6169,                0.68176,                0.60484,                0.64626,                0.39043,                 1.5672,                 1.3322,                 1.5507,             0.00071375,             0.00071375,             0.00071375
                     54,                 1.6024,                 1.4507,                 1.6052,                0.75361,                0.60689,                0.69068,                0.43021,                 1.4986,                 1.2123,                 1.5113,             0.00070344,             0.00070344,             0.00070344
                     55,                 1.5956,                 1.4512,                 1.5844,                0.75239,                0.64922,                0.71309,                0.42622,                 1.4994,                 1.1994,                 1.5054,             0.00069313,             0.00069313,             0.00069313
                     56,                 1.5367,                 1.4306,                 1.6172,                 0.6595,                0.63186,                0.67984,                0.41694,                 1.4908,                 1.3697,                 1.5107,             0.00068281,             0.00068281,             0.00068281
                     57,                 1.6074,                  1.383,                 1.6215,                0.73579,                0.60506,                0.69608,                0.42743,                 1.5004,                 1.2927,                 1.5103,              0.0006725,              0.0006725,              0.0006725
                     58,                 1.5515,                 1.3773,                 1.5314,                0.75452,                0.65104,                0.74356,                0.44696,                 1.5221,                 1.1452,                 1.4984,             0.00066219,             0.00066219,             0.00066219
                     59,                 1.5658,                 1.2953,                 1.5704,                0.75558,                0.66469,                0.76047,                0.44649,                  1.536,                 1.1481,                 1.4927,             0.00065188,             0.00065188,             0.00065188
                     60,                 1.5264,                 1.3265,                 1.5414,                0.78468,                0.65629,                0.76254,                0.45031,                 1.5073,                  1.215,                 1.4753,             0.00064156,             0.00064156,             0.00064156
                     61,                 1.5962,                 1.3221,                 1.5956,                0.79778,                0.67893,                0.75904,                 0.4565,                 1.4817,                 1.1752,                 1.4647,             0.00063125,             0.00063125,             0.00063125
                     62,                 1.5512,                 1.2281,                 1.5362,                0.81138,                0.71918,                0.81735,                0.49498,                 1.4682,                 1.0629,                 1.4406,             0.00062094,             0.00062094,             0.00062094
                     63,                  1.625,                  1.405,                 1.5755,                0.82943,                0.67359,                0.80744,                0.48723,                  1.495,                 1.0953,                 1.4499,             0.00061062,             0.00061062,             0.00061062
                     64,                   1.59,                 1.2844,                 1.5535,                0.88693,                0.64374,                0.82886,                0.49669,                 1.4842,                 1.1068,                 1.4623,             0.00060031,             0.00060031,             0.00060031
                     65,                 1.5719,                 1.3229,                 1.5538,                0.87335,                0.64921,                0.83849,                0.49402,                 1.4716,                 1.0982,                 1.4811,                0.00059,                0.00059,                0.00059
                     66,                 1.5355,                 1.2715,                 1.5281,                 0.7979,                0.70232,                0.81952,                0.48087,                 1.5062,                 1.0745,                  1.481,             0.00057969,             0.00057969,             0.00057969
                     67,                 1.5976,                 1.2791,                 1.5593,                0.81271,                0.68414,                0.81216,                0.47683,                 1.5061,                 1.0768,                 1.4571,             0.00056938,             0.00056938,             0.00056938
                     68,                 1.5904,                 1.2448,                 1.4897,                0.77144,                0.80173,                0.83834,                0.51069,                 1.4439,                0.99055,                 1.4141,             0.00055906,             0.00055906,             0.00055906
                     69,                 1.5174,                 1.2462,                  1.493,                0.79473,                0.78808,                0.85464,                0.52197,                 1.4696,                 1.0097,                 1.4189,             0.00054875,             0.00054875,             0.00054875
                     70,                 1.5777,                 1.2755,                 1.5592,                0.82969,                0.78428,                0.84631,                0.51255,                 1.4815,                 1.0368,                 1.4113,             0.00053844,             0.00053844,             0.00053844
                     71,                 1.5248,                 1.2468,                 1.5306,                0.79078,                0.76584,                0.84375,                0.51864,                 1.4525,                 1.0622,                 1.4045,             0.00052812,             0.00052812,             0.00052812
                     72,                  1.511,                 1.2675,                 1.4945,                0.78766,                0.78795,                0.84932,                0.53454,                 1.4042,                0.99645,                 1.3977,             0.00051781,             0.00051781,             0.00051781
                     73,                 1.4761,                 1.2738,                 1.5379,                0.79317,                0.77107,                0.84515,                0.53399,                 1.4077,                0.98527,                 1.4021,              0.0005075,              0.0005075,              0.0005075
